Sent_id,Ambiguous Sentence,Sent_id,De Re Paraphrase (Unique Entity) ,RJ,Sent_id,De Dicto Paraphrase,DJ,,,,
aca_95138,Deniz bir dili konuşmak isterse kesinlikle hemen öğrenir.,azj_30338,Deniz'in konuşmak isterse hemen kesinlikle öğreneceği bir dil var.,0,ags_88089,Deniz herhangi bir dili konuşmak isterse kesinlikle hemen öğrenir.,,,,,1
axb_94395,Ayşe bir otele gitmek istiyor.,ajf_11161,Ayşe'nin gitmek istediği yer bir otel.,,amw_37299,Ayşe gideceği yerin bir otel olmasını istiyor.,,,,,0
ajc_34053,Bir sıvacının işini herkesten iyi yaptığını Gönül düşünüyor.,ant_85179,Gönül'ün işini herkesten iyi yaptığını düşündüğü belli bir sıvacı var.,,ani_55363,Gönül mesleği sıvacılık olan herhangi bir kişinin işini herkesten iyi yaptığını düşünüyor.,,,,,1
ahr_20286,Ali bir kitabın sana yardımcı olacağını düşünüyor.,ajt_18626,Ali'nin sana yardımcı olacağını düşündüğü bir kitap var.,,abf_51293,Sana yardımcı olacak şeyin bir kitap olduğunu düşünüyor Ali.,,,,,1
acj_65811,Melahat bir okuldan mezun olmak istiyor.,aqq_71520,Belirli bir okul var Melahat'in mezun olmak istediği.,,aoc_58863,Melahat mezun olacağı yer bir okul olsun istiyor.,,,,,0
alb_31480,Kerem başka bir manzaraya bakmak istiyor.,avt_13877,Kerem'in bakmak istediği başka bir manzara var.,,aoe_30410,Kerem bundan başka herhangi bir manzaraya bakmak istiyor.,,,,,1
adw_97088,Pelin uzman bir doktor görmek istiyor.,axt_77742,Pelin'in görmek istediği kişi uzman bir doktor.,,auz_75957,Pelin görmek istediği kişinin uzman bir doktor olmasını istiyor.,,,,,1
aso_68167,Ayşe tecrübeli bir reklamcı ile çalışmak istiyor.,asv_20674,Tecrübeli bir reklamcı Ayşe'nin çalışmak istediği kişinin mesleği.,,akk_45712,Ayşe tecrübeli bir reklamcı olsun istiyor çalışacağı kişi.,,,,,1
acf_11772,seninki gibi bir öneride bulunmak istiyor ajanstakiler.,acu_61986,Ajanstakilerin bulunmak istediği öneri seninki gibi.,,aan_40213,Ajanstakilerin istediği seninki gibi herhangi bir öneride bulunmak.,,,,,1
aco_96111,Belma bir vapur yolculuğuna yalnız çıkmak istiyor.,adl_33971,Belma'nın yalnız çıkmak istediği bir vapur yolculuğu mevcut.,,agy_36377,Belma yalnız çıkacağı yolculuk bir vapur yolculuğu olsun istiyor.,,,,,0
aam_61913,Bir müşteriye Mehmet bakmak istiyor.,aos_83032,Mehmet'in bakmak istediği özel bir müşteri var.,,aph_63415,Kim olduğu önemli olmayan bir müşteriye Mehmet bakmak istiyor.,,,,,0
ass_30171,senin yaptığın gibi bir sebze yemeğinden yemek istiyor Ceylan.,aku_45495,Bir sebze yemeğinden yemek istiyor Ceylan aynı senin yaptığın gibi olan.,,auu_32112,Ceylan senin yaptığına benzeyen herhangi bir sebze yemeğinden yemek istiyor.,,,,,1
arj_14108,Başka bir resmi çizmek istiyor Abidin.,ana_46535,Abidin'in çizmek istediği başka bir resim var.,,avm_52731,Abidin bu resim dışında  herhangi başka bir resim çizmek istiyor.,,,,,1
ada_47304,Müjdat başka bir şirkette çalışmak istiyor.,azd_84652,Müjdat'ın çalışmak istediği başka bir şirket var.,,apu_73222,Müjdat bahsi geçilen şirket dışında herhangi bir şirkette çalışmayı istiyor. ,,,,,1
aal_68569,Elif bir kaza geçirirse büyük ihtimalle ona kimse ulaşamaz.,agg_34227,Elif geçirirse kimsenin ona büyük ihtimalle ulaşamayacağı türden bir kaza var.,,acx_47236,Büyük ihtimalle Elif kaza geçirirse kimse ona ulaşamaz. ,,,,,1
aij_39755,Bir ekmeğin kaç lira olduğunu Recep uzun zamandır sorgulamamıştı.,azb_34846,Recep'in uzun zamandır kaç lira olduğunu sorgulamamış olduğu bir ekmek var. ,,ain_67404,Recep uzun zamandır ekmeğin kaç lira olduğunu sorgulamamıştı. ,,,,,1
afh_86821,Seda gelecekte bir ev satın almasının zorunlu olduğunu düşünüyor.,avj_44835,Seda'nın gelecekte satın almasının zorunlu olduğunu düşündüğü bir ev var.,,afz_70015,Seda gelecekte ev satın almasının zorunlu olduğunu düşünüyor.,,,,,1
ane_55811,Süreyya bir tekne gezisine katılması gerektiğini söylüyor.,aem_11816,Süreyya'nın katılması gerektiğini söylediği bir tekne gezisi var.,,asi_96645,Süreyya herhangi bir tekne gezisine katılması gerektiğini söylüyor.,,,,,0
atd_29818,Bunun gibi bir konuda konuşmak istiyor Asude.,aqy_35222,Asude'nin konuşmak istediği konu bunun gibi.,,auo_68470,Konuşacağı konu bunun gibi olsun istiyor Asude.,,,,,1
aox_55011,Yağız kendine yeni bir arkadaş edinmek istiyor.,agi_48414,Kendine arkadaş edinmek istediği yeni bir kişi var Yağız'ın. ,,acj_11578,Yağız kendine yeni arkadaş edinmek istiyor.,,,,,1
afp_13089,Cenk bir araba satın alırsa mutlu olacağını düşünüyor.,abk_68563,Cenk'in satın alırsa mutlu olacağını düşündüğü bir araba var.,,auk_95765,Cenk herhangi bir araba satın alırsa mutlu olacağını düşünüyor.,,,,,1
acg_70393,Ali kuyumcuya bir hırsızın girdiğini mi iddia ediyor?,abv_47124,Ali kuyumcuya girenin bir hırsız olduğunu mu iddia ediyor?,,aem_68582,Ali kuyumcuya hırsız girdiğini mi iddia ediyor?,,,,,1
amv_11585,Ev arkadaşım bir kediye bakmak istiyor.,aot_41736,Ev arkadaşımın bakmak istediği bir kedi var.,,aea_56554,Ev arkadaşım herhangi bir kediye bakmak istiyor.,,,,,1
atk_69967,Gülsüm deniz gören bir yazlık almak istiyormuş.,aru_81480,Gülsüm'ün almak istediği yazlık deniz görüyormuş.,,akn_13432,Alacağı yazlık deniz görsün istiyor Gülsüm.,,,,,1
afk_12201,şuradaki gibi bir ev almak istiyorum.,ari_38856,Şuradaki gibi olan bir ev almak istediğim.,,aed_30668,Ev almak istiyorum şuradaki gibi bir tane.,,,,,1
aao_56565,Başka bir fotoğrafı bastırmak istiyor Yiğit.,atc_98716,Yiğit'in bastırmak istediği başka bir fotoğraf var.,,aap_38754,Yiğit bu fotoğraf dışında başka herhangi bir fotoğraf bastırmak istiyor.,,,,,1
avv_70863,Bener buradaki gibi bir fotoğrafta yer almak istiyor.,any_89291,Bener'in yer almak istediği fotoğraf buradaki gibi.,,afq_76159,Bener buradaki gibi olan herhangi bir fotoğrafta yer almak istiyor.,,,,,1
axn_53042,Ona yardımcı olur diye bir kitap okumasını önerdim.,aqk_49028,Ona yardımcı olur diye okumasını önerdiğim şey bir kitap.,,ahg_84513,Kitap okumasını önerdim ona yardımcı olur diye.,,,,,1
anm_56009,Hakan bir arkadaşına uğramak istiyor.,ach_76410,Hakan'ın uğramak istediği bir arkadaşı var.,,apy_80895,Hakan arkadaşı olan insanlardan herhangi birine uğramak istiyor.,,,,,0
aoj_65725,buğra'nınki gibi bir kitaptan alıntı yapmak istiyor Batu.,aaf_58531,Batu'nun alıntı yapmak istediği kitap Buğra'nınki gibi.,,apz_28547,Batu alıntı yaptığı kitap Buğra'nınki gibi olsun istiyor.,,,,,1
akg_52782,Filiz kırmızı bir araba almak istiyor.,azv_41030,Filiz'in almak istediği araba kırmızı.,,ajq_85341,Filiz alacağı araba kırmızı olsun istiyor.,,,,,1
aia_47339,Yorgun bir şoför ile yola çıkmak istiyor Kenan.,atl_44800,Kenan'ın yola çıkmak istediği şoför yorgun.,,ahv_27772,Kenan yola çıkacağı şoför yorgun olsun istiyor.,,,,,1
alo_90930,Para biriktirdikten sonra kardeşim bir araba almak istiyor.,ame_93366,Aklındaki arabayı kardeşim para biriktirdikten sonra almak istiyor.,,art_65141,Kardeşim para biriktirdikten sonra araba almak istiyor.,,,,,1
awv_24001,Akşam için pişirilen bir kurabiyenin kaç derecede pişirildiğini Abraham bilmiyordu.,azn_60445,Abraham akşam için pişirilen kurabiyenin kaç derecede pişirildiğini bilmiyordu.,,aoi_44822,Abraham akşam için pişirilen herhangi bir kurabiyenin kaç derecede pişirildiğini bilmiyordu. ,0,,,,1
acc_38891,Annemler tatilde bir yat kiralamak istiyor.,auu_99669,Annemler'in tatilde kiralamak istediği bir yat var.,,afs_52624,Annemler tatilde yat kiralamak istiyor.,,,,,1
