Sent_id,Ambiguous Sentence,,,
swl_48813,Pelin başka bir yüksek okulda okumak istiyor.,,,
sji_20351,arkadaşım bir roman okumak ister.,,,
skl_19794,Ezan okununca eniştem namaz kılmak için bir seccade istedi.,,,
srh_23096,Kenan sevgilisine bir mektup yazmanın romantik olabileceğine inanıyor.,,,
scg_30815,Ezgi boncukları dizerek bir kolye yapabilir.,,,
sou_63772,Kütüphaneden nasıl bir kitap almayı düşünüyor Beyza?,,,
sjl_21328,erdem gibi güçlü bir rakiple karşılaşmak istiyor Yetkin.,,,
ser_63860,Dilara bir sorumluluk alırsa hep yerine getirir mi?,,,
sgl_31146,Bahçıvan buraya bir fidan dikmek ister.,,,
snm_42723,Baran hep bir rapor yazmak zorunda mı?,,,
sci_31871,buraya şık bir poster asmak istiyordu ev arkadaşım.,,,
swq_32223,yaren'inki gibi dayanıklı bir traktör bulmak istiyor Özden.,,,
sie_83833,sarışın kız sana bir soru sormak ister.,,,
szc_27268,Karpuz seçmeyi bilmeyen Tilbe manavdan lezzetli bir karpuz istedi.,,,
sfg_82857,Helin başına gelen bir olayı bile anlatmak istemiyor.,,,
sst_80336,Ali nasıl yeni bir ülkede yaşayacak?,,,
sad_68657,Elif bir arabası olsaydı bu kadar yorulmayacağını düşünüyor.,,,
shf_52441,hakem bir oyuncunun faul yaptığını düşünüyor.,,,
sws_54885,Kedim için bir yaş mama almak istiyorum.,,,
shj_27461,Halide annesininki gibi lüks bir otelde tatil yapmak istiyor.,,,
sns_84482,İnci bir olaydan bahsetmekten çekiniyor.,,,
sow_59428,okuldaki gibi kapsamlı bir kütüphanede çalışmak istiyorum.,,,
sgg_19224,Nergis bir arkadaşına yemek sözü verdi.,,,
sle_38220,Bazı öğrenciler bir sınıfta ders dinlemek istiyor.,,,
sjw_69833,Kuzenim iyi bir üniversitede okumayı arzu ediyor.,,,
sxo_32981,Kardeşim bir arabayı almak istiyor.,,,
skl_16078,Kerem her tabağın sirtaki için uygun olduğunu sanıyor.,,,
sdc_21978,Nermin belki bir komşusunu akşam yemeğine davet edebilir.,,,
spd_47497,İşte bir sorunla karşılaşırsa Defne arkadaşını arar.,,,
shi_55857,kitaptaki gibi zor bir konuya aşina olmak istiyor Öğrenci.,,,
ssi_81912,"Harun, arkadaşınınki gibi hızlı bir araba sürmek istiyor.",,,
swc_75168,Şuayip zor bir sorudan başlamak istiyor.,,,
syu_53537,Pelin her müzisyenin okullu olduğunu düşünüyor.,,,
sfe_85411,Yelda başka bir adamla birlikte vakit geçirmek istiyor.,,,
sot_61309,Feriha istiyor başka bir prestijli üniversitede okumak.,,,
scy_43512,Jale yaren gibi güvenilir bir arkadaşına sırlarını açmak istiyor.,,,
slq_37268,Bir kitapçı ile muhabbet etmek istiyor Benan.,,,
smp_62063,Naz başka bir yakın arkadaşıyla birlikte yaşamak istiyor.,,,
srr_95265,Bu işi tamamlarsa bir kulüpte parti vermek istiyor Berrin.,,,
shq_84410,başka bir geniş evde yaşamak istiyor Cansu.,,,
smo_86429,Reyhan başka bir tarihi roman yazmak istiyor.,,,
sdz_36369,Berkay ile anlaşamadığı için kiralık bir eve taşınmak istiyor Didem.,,,
suj_42789,Mete kızıl saçlı bir kadın ile evleneceğine inanıyor.,,,
smy_18265,Sevgilisi için Anıl güzel bir yemek hazırlamak istiyormuş.,,,
sqt_38989,Sude bir çantayı dolaba koymak istiyor.,,,
sjm_34762,başka bir insanla oturmak istiyor Jülide.,,,
sog_48543,Asena denize bakan bir masaya oturmak istiyor.,,,
shj_52847,otobüse buradaki gibi merkezi bir duraktan binmek istiyor Mahmut.,,,
sjk_76394,mağazadakiler gibi kırmızı bir domates arıyor Şef.,,,
sze_24499,Doktoru cilt kanserinden korunması için bir güneş kremi almasını istemiş.,,,
sbp_19804,Yağız başka bir öğrenciyi görmek istiyor.,,,
soh_12642,koridora bir ayna asmak istiyor Selim.,,,
sfw_74945,Şeyda bir kitabı bitirmek için saatler harcamamayı diliyor.,,,
spv_43065,Günlerini bir sahil kasabasında geçirmek istiyor Pelin.,,,
shd_64172,Her şeyden bıkmış görünen Melis artık bir sahil kasabasına yerleşmek istiyor.,,,
sma_96579,Halil istiyor bir şarkıcı ile buluşmak.,,,
sbd_61737,Fırat yeni açılmış bir kursta yelken eğitimi almayı düşünüyor.,,,
smd_21809,Buse başka bir hikayeyi dinlemek istiyor.,,,
sar_78942,Bir çiçeğe bakmanın çok iyi hissettirdiğini düşünüyor Gökçe.,,,
srv_83414,Nilay başka bir lüks restorana haber vermek istiyor.,,,
sby_81206,Duygu hastalanırsa yakınlarda bir eczane bulamayacağını düşünüyor.,,,
sda_44149,Yurdanur behice gibi zeki bir menajerle işbirliği yapmak istiyor.,,,
