,0
0,dil,lisan,lehçe
1,kesinlikle,katiyen,muhakkak
2,hemen,acilen,çabucak
3,otel,motel,hostel
4,sıvacı,duvarcı,usta
5,iş,görev,vazife
6,iyi,hoş,güzel
7,kitap,roman,eser
8,okul,mektep,üniversite
9,başka,farklı,değişik
10,manzara,peyzaj,görüntü
11,uzman,mütehassıs,bilirkişi
12,doktor,hekim,şifacı
13,tecrübeli,deneyimli,olgun
14,reklamcı,pazarlamacı,reprezant
15,öneri,tavsiye,teklif
16,vapur,gemi,tekne
17,yolculuk,seyahat,gezinti
18,müşteri,alıcı,müvekkil
19,sebze,domates,patlıcan
20,yemek,aş,yahni
21,resim,tablo,portre
22,şirket,kuruluş,kurum
23,kaza,hastalık,düşkünlük
24,büyük,yüksek,ciddi
25,ekmek,simit,poğaça
26,ev,yuva,daire
27,zorunlu,şart,lazım
28,tekne,yat,gemi
29,gezi,yolculuk,tur
30,konu,mevzu,mesele
31,arkadaş,dost,yaren
32,araba,taşıt,jip
33,mutlu,mesut,neşeli
34,kuyumcu,dükkan,mağaza
35,hırsız,soyguncu,haydut
36,Ev,yuva,daire
37,kedi,balık,kuş
38,deniz,göl,okyanus
39,yazlık,konut,villa
40,fotoğraf,görsel,resim
41,alıntı,iktibas,alüzyon
42,kırmızı,yeşil,mor
43,Yorgun,bitkin,dermansız
44,şoför,sürücü,muavin
45,Para,altın,dolar
46,kardeş,abi,abla
47,akşam,gece,akşamüstü
48,kurabiye,börek,çörek
49,tatil,dinlence,ara
50,yat,taka,bot
51,restoran,lokanta,cafe
52,tatlı,profiterol,puding
53,katılımcı,yarışmacı,davetli
54,masa,sandalye,iskemle
55,Adam,erkek,kişi
56,bardak,kupa,kadeh
57,öğrenci,talebe,kursiyer
58,soru,sual,problem
59,sadece,yalnızca,salt
60,yumurta,omlet,gevrek
61,kısa,tez,acil
62,kızıl,siyah,kahverengi
63,kız,oğlan,kadın
64,Gaddar,zalim,
65,adam,erkek,kişi
66,fidan,filiz,çiçek
67,grup,topluluk,ekip
68,kişi,birey,şahıs
69,ajan,casus,köstebek
70,yoğun,dolu,yorucu
71,mühendis,makinist,tekniker
72,hamak,yatak,kanepe
73,bölüm,branş,alan
74,oyuncu,aktör,aktris
75,röportaj,mülakat,görüşme
76,misafir,davetli,mihman
77,hediye,armağan,ikram
78,çanta,kalemlik,ayakkabı
79,sağduyu,içgörü,aklıselim
80,satıcı,bayi,tedarikçi
81,fiyat,ücret,etiket
82,üzücü,hüzünlü,nahoş
83,anı,hatıra,an
84,dükkan,yazıhane,atölye
85,oduncu,marangoz,doğramacı
86,odun,sunta,tahta
87,yarış,müsabaka,maç
88,kahve,çay,bira
89,mızıkacı,müzisyen,şantör
90,mızıka,armonika,piyano
91,köpek,it,iguana
92,park,sayfiye,bahçe
93,tren,metro,füniküler
94,rengarenk,alacalı,renkli
95,kimono,ceket,yelek
96,koltuk,sedir,divan
97,olgun,ergin,taze
98,limon,portakal,greyfurt
99,dal,ağaç,fide
100,ülke,yöre,eyalet
101,şarap,cin,viski
102,görkemli,gösterişli,şaaşaalı
103,salon,köşk,saray
