forms,,PROPN,,NOUN,,,,,,,,,adj,ki,,verb,,,,,,,,,,adv,det,pron
",",,Abidin,,Nom,Acc,Dat,Loc,Abl,Gen,Inst,poss,,aynı,ajanstakiler,,pres,past,hab,fut,part,conv,vnoun,se sa,multiple,,belki,bir,biri
?,,Abraham,,adam,anıyı,adama,apartmanda,adamdan,adamın,adamla,Annem,,başka,Ajanstakilerin,,ediliyor,düşündü,acıkır,,acıkacağı,biriktirdikten,almayı,alırsa,arzuluyordu,,bile,Bir,birine
.,,Ali,,aday,arabayı,banka,bahçede,benden,çocuğun,adayla,arkadaşım,,Başka,Aklındaki,,,istedi,öğrenir,,Alacağı,,çalışmayı,çıkarsa,bilirdi,,bugün,,birini
3A,,Astrid,,ajan,bölümü,bölüme,bankta,dersten,dalından,ihtimalle,Arkadaşım,,Belirli,benimki,,istiyorum,,olur,,alacağı,çalışırken,etmeyi,çıksa,Bilirdi,,çok,,birisi
,,Asude,,Akşam,dili,dergiye,derecede,Dersten,ekmeğin,kızla,kardeşim,,belli,Benimki,,,önerdim,uğrar,,ayrılacağı,gelirken,geçmeyi,geçirirse,bilmiyordu,,en,,bizim
gibi,,Ayla,,akşam,dükkanı,eve,dışında,dükkandan,evden,makineyle,Kardeşim,,bu,bolu'daki,,düşünüyor,,ister,,atacağı,,,isterse,gönderecekmiş,,En,,Bizim
görsün,,Ayşe,,alıntı,evi,kediye,fotoğrafta,dükkanından,gözlemcinin,konukla,,,büyük,Bolu'daki,,düşünyor,sorgulamamış,,,bahsedeceği,uyumadan,açmak,olursa,düşünüyordu,,diye,,bundan
için,,ayşe,,alışveris,fotoğrafı,köpeğe,gelecekte,fidanlardan,hala'nın,mezunla,Annemler,,Büyük,Bremen'deki,,ediyor,inanmış,ulaşamaz,,çalışacağı,,almak,yerse,çalışıyordu,,hemen,,Bunun
ile,,Ayşenur,,alışveriş,halıyı,kuyumcuya,grupta,herkesten,halının,mühendisle,,,esmer,buradaki,,söylüyor,,,,çıkacağı,getirip,avlamak,yaparsa,görüyormuş,,kesinlikle,,bunun
işte,,Aysu,,an,kimonoyu,manzaraya,hamakta,Herkesten,hırsızın,uzmanla,Annemler'in,,Esmer,buradakiler,,istiyor,,yapabilir,,değiştireceği,bırakıp,ayrılmak,,inanmıştı,,sadece,,kimse
mi,,Banu,,anı,koltuğu,masaya,kahvaltıda,kitaptan,katılımcının,,,,farklı,evdeki,,planlıyor,,,,evleneceği,,bahsetmek,,istiyordu,,sonra,,kimsenin
mu,,Barış,,apartman,limonu,okula,konuda,konudan,kişinin,,Arkadaşım'ın,,Gaddar,ispanya'dakiler,,sanıyor,,,,gideceği,çıkınca,bakmak,,istiyormuş,,yarın,,kendine
ne,,Batu,,araba,Okulu,müşteriye,okulda,marketten,kitabın,,arkadaşımın,,görkemli,İspanya'dakiler,,,,,,giyeceği,kazanınca,Bakmak,,planlıyormuş,,,,Kendine
Ne,,Belma,,arkadaş,okulu,müzeye,öneride,Marketten,kızın,,annemin,,Güzel,paris'tekiler,,,,,,göndereceği,,atmak,,sorgulamamıştı,,,,kendini
olsun,,Bener,,aşık,onu,parka,zamanda,okuldan,kurabiyenin,,,,güzel,Paris'tekiler,,,,,,göreceği,,bastırmak,,ummuştum,,,,Kim
var,,Berrin,,bahçe,restoranı,otele,salonda,önceden,mızıkacı'nın,,arkadaşı,,hediyelik,restorandaki,,,,,,içeceği,,binmek,,,,,,kim
vardı,,Buse,,balık,şarabı,plaja,restoranda,pastadan,mızıkanın,,hatası,,işsiz,seninki,,,,,,istediği,,bırakmak,,,,,,Kimiler'nin
varmış,,Büşra,,bank,şiiri,trene,ülkede,şirketten,Mızıkanın,,bahsi,,kaslı,şuradaki,,,,,,Konuşacağı,,bulunmak,,,,,,Kimileri
