Sent_id,Ambiguous Sentence,,
mxn_18010,Naz patronundan bir toplantı talep ediyor.,,
mtn_29484,"Fatma, selin'inki gibi bir tekne modifiye etmek istiyor.",,
mfy_45731,Ahmet benimki gibi lüks bir restorana gitmek istiyor.,,
mnb_75681,Öyle şeyler söylüyorsun ki bilgisi dağları aşmış bir insanın bile sana yetip yetmeyeceğini sorgulayacağım neredeyse.,,
mun_18486,Hamile bir kediye evini açmak istiyor Nazen.,,
mac_93524,Utku bir öğrenci ile görüşmek istiyor.,,
mid_74206,Rüstem şakire'ninki gibi bir arabayla yola çıkmak istiyor.,,
max_82615,Bir tabağı yıkamak istiyor Ayşe.,,
mhk_37235,"Mercan denizlerde daha yeni doğmuş, hiçbir şeye alışık olmayan bir bebek olduğunu sanıyormuş.",,
mbc_77296,Telefondan sipariş verdiği suyun cam bir damacanada gelmesini rica ediyor.,,
mqd_50741,Günlerdir kıyafetine uygun bir oje arıyor Çağla.,,
mtk_11848,Hilmican başka bir etkileyici kitaptan alıntı yapmak istiyor.,,
mjs_32677,Meltem bir kitabı okumayı bitirmek istiyor.,,
mkk_65779,Rumet bir an önce bir işe başlayıp bu evden taşınmak istiyormuş.,,
mwe_17980,başka bir mantar panoya asmak istiyor ilanı Yeter.,,
mqw_36355,Jüri bir yarışmacının hile yaptığını düşünüyor.,,
mwg_62191,Fazıl evine bir yabancının gelmesini hiç istemiyor.,,
mmp_29093,Yücel bu konuyu ayşe'nin yazdığı gibi kapsamlı bir kitaptan okumak istiyor.,,
moi_26895,Hüsnü şuradaki gibi kırmızı bir bisikleti sürmek istiyor.,,
myk_10046,Jale bir arkadaşının depresyona girdiğini düşünüyor.,,
mdp_78046,Bana kalırsa Nisa nişanda bir elbise giymeliydi.,,
mow_25899,başka bir mihmandar ile gezmek istiyor Büyükelçi.,,
mgw_93419,Büşra topuklu ayakkabılarla rahat yürünebilecek bir yerde dolaşmak istiyor.,,
mpn_50461,Kenan başka bir lüks restoranda buluşmak istiyor.,,
