,0
0,Naz
1,patronundan
2,bir
3,toplantı
4,talep
5,ediyor
6,.
7,Fatma
8,","
9,Selin'inki
10,gibi
11,tekne
12,modifiye
13,etmek
14,istiyor
15,Ahmet
16,benimki
17,lüks
18,restorana
19,gitmek
20,Öyle
21,şeyler
22,söylüyorsun
23,ki
24,bilgisi
25,dağları
26,aşmış
27,insanın
28,bile
29,sana
30,yetip
31,yetmeyeceğini
32,sorgulayacağım
33,neredeyse
34,Hamile
35,kediye
36,evini
37,açmak
38,Nazen
39,Utku
40,öğrenci
41,ile
42,görüşmek
43,Rüstem
44,şakire'ninki
45,arabayla
46,yola
47,çıkmak
48,Bir
49,tabağı
50,yıkamak
51,Ayşe
52,Mercan
53,denizlerde
54,daha
55,yeni
56,doğmuş
57,hiçbir
58,şeye
59,alışık
60,olmayan
61,bebek
62,olduğunu
63,sanıyormuş
64,Telefondan
65,sipariş
66,verdiği
67,suyun
68,cam
69,damacanada
70,gelmesini
71,rica
72,Günlerdir
73,kıyafetine
74,uygun
75,oje
76,arıyor
77,Çağla
78,Hilmican
79,başka
80,etkileyici
81,kitaptan
82,alıntı
83,yapmak
84,Meltem
85,kitabı
86,okumayı
87,bitirmek
88,Rumet
89,an
90,önce
91,işe
92,başlayıp
93,bu
94,evden
95,taşınmak
96,istiyormuş
97,mantar
98,panoya
99,asmak
100,ilanı
101,Yeter
102,Jüri
103,yarışmacının
104,hile
105,yaptığını
106,düşünüyor
107,Fazıl
108,evine
109,yabancının
110,hiç
111,istemiyor
112,Yücel
113,konuyu
114,ayşe'nin
115,yazdığı
116,kapsamlı
117,okumak
118,Hüsnü
119,şuradaki
120,kırmızı
121,bisikleti
122,sürmek
123,Jale
124,arkadaşının
125,depresyona
126,girdiğini
127,Bana
128,kalırsa
129,Nisa
130,nişanda
131,elbise
132,giymeliydi
133,mihmandar
134,gezmek
135,Büyükelçi
136,Büşra
137,topuklu
138,ayakkabılarla
139,rahat
140,yürünebilecek
141,yerde
142,dolaşmak
143,Kenan
144,restoranda
145,buluşmak
146,Ufuk
147,mevzudan
148,bahsetmek
149,Kaan
150,işsiz
151,kadını
152,tanımak
153,Her
154,izleyici
155,onun
156,yaptığı
157,filmin
158,harika
159,Saygın
160,siyah
161,şort
162,katılmayı
163,kendi
164,düğününe
165,Lezzetli
166,pastadan
167,yemek
168,Hürrem
169,Nihat
170,ayakkabı
171,giymek
172,Hediye
173,şunun
174,giibi
175,model
176,dikiş
177,makinesi
178,dikmek
179,Venüs
180,masaya
181,oturmak
182,lezzetli
183,yemekten
184,Turan
185,Zebercet
186,buradaki
187,manavdan
188,almak
189,sporcunun
190,doping
191,Leyla
192,şapkayı
193,başkasına
194,hediye
195,Tevfik
196,kadından
197,nefret
198,öğretim
199,üyesi
200,görmek
201,Hande
202,her
203,gün
204,derse
205,katılırsa
206,mezun
207,olabilir
208,bizimki
209,eve
210,Reyhan
211,Gamze
212,doğum
213,günü
214,partisine
215,şarap
216,alarak
217,gelmemizi
218,mi
219,istedi
220,?
221,uzman
222,doktorla
223,fikir
224,alışverişi
225,Tuna
226,Hayatının
227,döneminde
228,Moğolistan'da
229,yaşamış
230,musun
231,Akif
232,Ablam
233,öğretmenin
234,istediği
235,soru
236,alırsa
237,sınavı
238,geçermiş
239,yeşil
240,bahçeye
241,sahip
242,olmak
243,Mehmet
244,Sabırsızlandığı
245,için
246,trene
247,binip
248,erken
249,gitmeyi
250,arzu
251,Efe
252,spor
253,ayakkabıyı
254,Ilgın
255,tesisatçı
256,çağrımak
257,Yeşim
258,tıpkı
259,bunun
260,filmde
261,oynamak
262,ev
263,arkadaşım
264,odasına
265,halı
266,Erçin
267,odada
268,uyumak
269,okuldaki
270,ilan
271,Hale
272,doktoru
273,kardeşim
274,Janset
275,gergin
276,ortamdan
277,ayrılmak
278,Hakan
279,çok
280,acı
281,biber
282,istiyordu
283,Filiz
284,otelde
285,kalmak
286,stüdyoda
287,kayıt
288,Serdar
289,Salıncakta
290,sallanan
291,çocuk
292,düşeceğini
293,hissediyor
294,Ozan
295,tanınmış
296,staj
297,yapmayı
298,önemsiyor
299,Zannederim
300,siz
301,de
302,aşçının
303,yapacağı
304,yemeğin
305,anneninkinden
306,üstün
307,olacağına
308,inanıyorsunuz
309,Bu
310,konuda
311,fizikçi
312,Sevinçleriyle
313,üzüntülerini
314,heybede
315,toplayıp
316,denize
317,atmayı
318,düşünüyordu
319,Ulrika
320,Başka
321,zor
322,konuya
323,aşina
324,Fatih
325,Emilia
326,İsviçre'den
327,getireceği
328,çikolatayı
329,arkadaşına
330,etmeyi
331,Azra
332,buradan
333,otobüse
334,binerek
335,ulaşabilir
336,Seninki
337,çanta
338,istiyordum
339,ama
340,bulamadım
341,Nazlı
342,mühendisle
343,tanışmayı
344,arzuluyormuş
345,Selim
346,reklam
347,ajansında
348,çalışmak
349,annem
350,balkona
351,saksı
352,koymak
353,Miray
354,öpüşmek
355,Ünzile
356,araba
357,onur'unki
358,istiyorum
359,Şeyda
360,şık
361,Emlakçı
362,geniş
363,daireyi
364,satmak
365,evlenmek
366,Fahriye
367,yarın
368,büyük
369,evi
370,temizlemek
371,Yağız
372,kutlama
373,Şükran
374,hayriye'ninki
375,daktiloyla
376,yazmak
377,Belediye
378,başkanı
379,meydana
380,pembe
381,çiçek
382,yiğidin
383,yoğurt
384,yiyişi
385,olduğundan
386,şüpheliyim
387,Geriye
388,kalan
389,fotoğraf
390,parçası
391,tüm
392,güzel
393,anıların
394,yerini
395,tutabilir
396,Perihan
397,merak
398,ediyordu
399,Banu
400,istanbul
401,şehirden
402,arsa
403,Deniz
404,kitaplarını
405,küçük
406,valizde
407,taşımayı
408,buluyor
409,mutfağa
410,masa
411,Garanti
412,başvurmanın
413,akıllıca
414,olacağını
415,Berivan
416,Ercan
417,başarılı
418,albümü
419,satın
420,Sevimli
421,pandaya
422,bambu
423,yedirmek
424,Burak
425,önümüzdeki
426,hafta
427,kendisine
428,Oğuz
429,kuyumcudan
430,altın
431,Nazenin
432,öğrencinin
433,ödevi
434,olarak
435,kullansın
436,Bülent
437,daktiloda
438,yazı
439,Babam
440,koltuk
441,takımı
442,almaya
443,niyet
444,kafede
445,Eline
446,şiş
447,ve
448,iplik
449,alan
450,herkes
451,ponponlu
452,bere
453,örmek
454,Güzel
455,söz
456,söylemenin
457,kaçıp
458,kaçmayacağını
459,etti
460,Henrik
461,Çiğdem
462,yanında
463,sadece
464,hırka
465,götürmek
466,Restorandaki
467,masayı
468,Derin
469,ayırtmak
470,Keyifli
471,konudan
472,konuşmak
473,Tijen
474,Tülay'dan
475,tantuni
476,almasını
477,istemiş
478,Jülide
479,herkesin
480,ikinci
481,yabancı
482,dile
483,olmasının
484,istendiğini
485,biliyor
486,mu
487,Mahir
488,binada
489,yaşamak
490,Nermin'in
491,mektubu
492,saklamak
493,bursa'dakiler
494,yazlık
495,Can
496,işlerini
497,bitirirse
498,konsere
499,kuzenim
500,ara
501,Canan
502,üniversitede
503,balo
504,salonunda
505,dans
506,Aybala
507,arkadaşlarının
508,çoğunun
509,yazın
510,şehri
511,terkedeceğini
512,kağıda
513,resim
514,çizmek
515,Irmak
516,En
517,iyisi
518,Cemre
519,olaydan
520,sonra
521,mesaj
522,göndersin
523,ona
524,Çok
525,sıkıldığım
526,arkadaşımla
527,bara
528,Rezzak
529,Türkiye
530,ülkeden
531,ithalat
532,ayakkabıyla
533,kombin
534,Ceyda
535,Yıldız
536,böyle
537,derginin
538,kapağında
539,yer
540,Elektrikler
541,gidince
542,mum
543,yakmak
544,şarkı
545,dinlemek
546,Fikri
547,makasla
548,ağaçları
549,budamak
550,Kahvaltı
551,yaparken
552,yandan
553,da
554,zürafa
555,beslemek
556,istiyorlar
557,Aslında
558,Buğra
559,makale
560,okusa
561,iyi
562,eder
563,Ayten
564,yaşadıklarını
565,terapistle
566,paylaşmak
567,Zahide
568,diploma
569,boş
570,cümledir
571,Naz'ın
572,ettiği
573,var
574,Fatma'nın
575,Ahmet'in
576,restoran
577,Söylediklerinde
578,beni
579,sorgulamaya
580,iten
581,şey
582,anlayamadığım
583,insan
584,Nazen'in
585,hamile
586,kedi
587,Utku'nun
588,kişi
589,Rüstem'in
590,Şakire'ninkine
591,benziyor
592,Ayşe'nin
593,tabak
594,Mercan'ın
595,zannettiği
596,doğan
597,olduğuymuş
598,Rica
599,damacananın
600,içinde
601,telefonda
602,gelmesi
603,Çağla'nın
604,günlerdir
605,aradığı
606,Hilmican'ın
607,farklı
608,kitap
609,Meltem'in
610,Rumet'in
611,başlaması
612,gereken
613,iş
614,Yeter'in
615,bundan
616,pano
617,Jürinin
618,düşündüğü
619,yarışmacı
620,Fazıl'ın
621,istemediği
622,Yücel'in
623,Hüsnü'nün
624,bisiklet
625,Depresyona
626,arkadaşı
627,Jale'nin
628,Bence
629,Nisan'ın
630,giymesi
631,elbiseydi
632,Büyükelçinin
633,birlikte
634,Büşra'nın
635,Kenan'ın
636,Ufuk'un
637,mevzu
638,Kaan'ın
639,kadın
640,izleyicinin
641,film
642,Saygın'ın
643,düğününde
644,giyerek
645,Hürrem'in
646,pasta
647,Bundan
648,Nihat'ın
649,Hediye'nin
650,dikerken
651,kullanmak
652,şuna
653,benzeyen
654,Venüs'ün
655,Yemek
656,Turan'ın
657,Zebercet'in
658,buradakine
659,manav
660,sporcu
661,Leyla'nın
662,şapka
663,Tevfik'in
664,Hande'nin
665,olabilmesi
666,katılması
667,ders
668,Taşınmak
669,Reyhan'ın
670,Gamze'nin
671,partisi
672,alıp
673,şeyin
674,olup
675,olmadığını
676,Tuna'nın
677,doktor
678,hayatında
679,yaşadığın
680,dönemin
681,Ablamın
682,geçmesi
683,alması
684,istediğine
685,kitabıymış
686,Sahip
687,Mehmet'in
688,şuradakine
689,bahçe
690,Sabırsızlandığından
691,tren
692,Efe'nin
693,Çağırmak
694,Ilgın'ın
695,Yeşim'in
696,aynısı
697,olan
698,arkadaşımın
699,Erçin'in
700,oda
701,Hale'nin
702,üzerine
703,okuldakine
704,Kardeşimin
705,Janset'in
706,ortam
707,Hakan'ın
708,Filiz'in
709,otel
710,Serdar'ın
711,stüdyo
712,çocuğun
713,salıncakta
714,sallanırken
715,hissettiği
716,düşme
717,hissi
718,önemli
719,Sizin
720,inandığınızı
721,düşündüğüm
722,annenin
723,olanın
724,olduğu
725,Ulrika'nın
726,sevinçlerini
727,toplayarak
728,heybe
729,Fatih'in
730,konu
731,Arkadaşına
732,edeceği
733,Emilia'nın
734,çikolata
735,Azra'nın
736,ulaşabileceği
737,otobüs
738,istediğim
739,bulamadığım
740,seninkine
741,vardı
742,Nazlı'nın
743,arzuladığı
744,mühendis
745,Selim'in
746,ajansı
747,Annemin
748,koymayı
749,Miray'ın
750,Ünzile'nin
751,Almak
752,Onur'unkine
753,benzer
754,Şeyda'nın
755,Emlakçının
756,benimkine
757,daire
758,Yarın
759,Fahriye'nin
760,buna
761,Yağız'ın
762,Şükra'nın
763,yazarken
764,Hayriye'ninkine
765,daktilo
766,başkanının
767,çiçekti
768,yiyişinin
769,yiğitte
770,emin
771,değilim
772,Perihan'ın
773,tutabilecek
774,geriye
775,parçasının
776,olmamasıydı
777,Banu'nun
778,şehir
779,İstanbul
780,Deniz'in
781,kitaplarının
782,taşımanın
783,valiz
784,Mutfağa
785,Berivan'ın
786,garanti
787,Ercan'ın
788,albüm
789,Burak'ın
790,sevimli
791,panda
792,Altın
793,almayı
794,kuyumcu
795,Oğuz'un
796,Nazenin'in
797,kullanmasını
798,Bülent'in
799,babamın
800,niyetlendiği
801,kafe
802,Henrik'in
803,kaçmayacığını
804,Çiğdem'in
805,Derin'in
806,Tijen'in
807,keyifli
808,Onun
809,yiyecek
810,tantuniymiş
811,Herkesten
812,istenilenin
813,dil
814,Buradakine
815,bina
816,Mahir'in
817,Nermin
818,tarafından
819,yazılmış
820,mektup
821,Bursa'dakiler
822,benim
823,İşlerini
824,Can'ın
825,konser
