Sent_id,Ambiguous Sentence
aca_95138,Deniz bir dili konuşmak isterse kesinlikle hemen öğrenir.
axb_94395,Ayşe bir otele gitmek istiyor.
ajc_34053,Bir sıvacının işini herkesten iyi yaptığını Gönül düşünüyor.
ahr_20286,Ali bir kitabın sana yardımcı olacağını düşünüyor.
acj_65811,Melahat bir okuldan mezun olmak istiyor.
alb_31480,Kerem başka bir manzaraya bakmak istiyor.
adw_97088,Pelin uzman bir doktor görmek istiyor.
aso_68167,Ayşe tecrübeli bir reklamcı ile çalışmak istiyor.
acf_11772,seninki gibi bir öneride bulunmak istiyor ajanstakiler.
aco_96111,Belma bir vapur yolculuğuna yalnız çıkmak istiyor.
aam_61913,Bir müşteriye Mehmet bakmak istiyor.
ass_30171,senin yaptığın gibi bir sebze yemeğinden yemek istiyor Ceylan.
arj_14108,Başka bir resmi çizmek istiyor Abidin.
ada_47304,Müjdat başka bir şirkette çalışmak istiyor.
aal_68569,Elif bir kaza geçirirse büyük ihtimalle ona kimse ulaşamaz.
aij_39755,Bir ekmeğin kaç lira olduğunu Recep uzun zamandır sorgulamamıştı.
afh_86821,Seda gelecekte bir ev satın almasının zorunlu olduğunu düşünüyor.
ane_55811,Süreyya bir tekne gezisine katılması gerektiğini söylüyor.
atd_29818,Bunun gibi bir konuda konuşmak istiyor Asude.
aox_55011,Yağız kendine yeni bir arkadaş edinmek istiyor.
afp_13089,Cenk bir araba satın alırsa mutlu olacağını düşünüyor.
acg_70393,Ali kuyumcuya bir hırsızın girdiğini mi iddia ediyor?
amv_11585,Ev arkadaşım bir kediye bakmak istiyor.
atk_69967,Gülsüm deniz gören bir yazlık almak istiyormuş.
afk_12201,şuradaki gibi bir ev almak istiyorum.
aao_56565,Başka bir fotoğrafı bastırmak istiyor Yiğit.
avv_70863,Bener buradaki gibi bir fotoğrafta yer almak istiyor.
axn_53042,Ona yardımcı olur diye bir kitap okumasını önerdim.
anm_56009,Hakan bir arkadaşına uğramak istiyor.
aoj_65725,buğra'nınki gibi bir kitaptan alıntı yapmak istiyor Batu.
akg_52782,Filiz kırmızı bir araba almak istiyor.
aia_47339,Yorgun bir şoför ile yola çıkmak istiyor Kenan.
alo_90930,Para biriktirdikten sonra kardeşim bir araba almak istiyor.
awv_24001,Akşam için pişirilen bir kurabiyenin kaç derecede pişirildiğini Abraham bilmiyordu.
acc_38891,Annemler tatilde bir yat kiralamak istiyor.
azl_24210,restoranda servis edilen gibi bir tatlıdan yemek istiyor Süheyla.
avd_78145,Leyla başka bir konu konuşmak istiyor.
ahf_71931,Her katılımcı bir masaya oturmak gerektiğini düşündü.
asu_38553,Uygar başka bir adamla dövüşmek istiyor.
aci_98521,bir bardak kırmak ister Pelin.
aau_71899,Özlem bir öğrencinin bu soruyu çözebileceğini düşünüyor.
ayu_83025,Eda sadece bir yumurta ile kahvaltı yaparsa hemen acıkır.
avl_81584,Okulu bırakıp bir işte çalışmak istiyormuş Oğuz.
aue_35617,Selin bir arkadaşını davet etmeyi düşünüyor.
abl_33144,Şeyma en kısa zamanda kızıl saçlı bir kız öpmek istiyor.
ajf_70518,Gaddar adam fidanlardan birini sökmeyi arzuluyordu.
ajs_53004,Yaren grupta bir kişinin ajan olduğunu düşünüyor.
akj_25372,Büşra bir arkadaşının ondan hoşlandığını düşünyor.
apb_29078,en kısa zamanda bir araba almak istiyormuş en yakın arkadaşım.
ayp_59218,Barış yoğun bir haftasonundan sonra dinlenmek istiyor.
ajp_77252,Mehmet onun gibi bir mühendisle çalışmak istiyor.
aww_66895,başka bir okuldan mezun olmak istiyor Canan.
acn_38071,Güzide başka bir ev almak istiyor.
acf_72790,Aysu şunun gibi bir hamakta uyumak istiyor.
ads_90043,Ozan okuduğu bölümü bırakıp başka bir bölüme geçmeyi planlıyormuş.
ajv_69460,Zülfikar başka bir uzman ile görüşmek istiyor.
aoq_44041,Hilal başka bir okulda okumak istiyor.
adr_45161,Züleyha yıldız gibi bir oyuncu ile röportaj yapmak istiyor.
alh_36301,Banu lale'ninki gibi bir evi almak istiyor.
awc_12599,Astrid misafirlerinin eve gelirken bir hediye getirip getirmeyeceğinden şüpheliydi.
afa_12090,"Selin, büşra'nınki gibi bir çanta almak istiyor."
akq_99128,Gülin aysu'nunki gibi bir şirkette çalışmak istiyor.
agz_25691,Sağduyu sahibi bir satıcı herkesin ödeyebileceği fiyatlar belirlemesi gerektiğini bilirdi.
ajr_14033,Deniz başka bir eve taşınmak istiyor.
afi_21992,Silmek istiyor başka bir üzücü anıyı Eren.
akp_88081,Turan bizim dükkan gibi bir dükkanı işletmek istiyor.
amu_20677,Jülide başka bir kitap okumak istiyor.
awo_22905,Kimileri bir oduncunun tüm odunları keseceğine inanmıştı.
adf_60281,Bir soruya Leyla göz atmak istiyor.
ado_44300,Janset başka bir konudan bahsetmek istiyor.
ass_81861,Bir yarış kazanınca kendini kanıtlayacağını sanıyor o kız.
asz_80537,Ayla bir kahve içmek isterse belki bana uğrar.
ajt_16512,Bremen'deki mızıkacı bir mızıkanın kaç lira olduğundan bile habersiz.
agx_62789,Sunay köpeğini yürütmek için onu bir parka götürmek istiyor.
aea_75249,Kübra başka bir trene binmek istiyor.
aot_25854,Kurumi önceden anlaştığı bir dükkandan rengarenk bir kimono satın almayı planlıyor.
atn_51726,Selin evdeki gibi bir koltuğu değiştirmek istiyor.
agb_42303,Gülay olgun bir limonu dalından koparmak istiyor.
aam_68533,Büşra başka bir ülkede yaşamak istiyor.
awd_68384,Pelin istiyor başka bir şarabı içmek.
ayt_82740,Gizem görkemli bir salonda evlenmek istiyor.
ata_77314,Arkadaşım bir dergiye yazılarını gönderecekmiş.
abt_18950,Berrin bir yangın çıkarsa ne yapabilir?
avg_30172,paris'tekiler gibi bir müzeye gitmek istiyor Jale.
aws_93656,Ders çalışırken dinlemek için bir şarkı açmak istiyormuş Buse.
aua_34964,buradaki gibi bir dergi almayı istiyor Cansu.
azp_84965,Remziye yetkin bir adayla mülakat yapmak istiyor.
acx_23976,Halime başka bir elbise giymek istiyor.
aqh_86904,başka bir pastadan yemek istiyor Cüneyt.
aqb_33286,Enes bir hatası olmadığını iddia ediyor.
aeo_84561,benimki gibi bir çanta almak istiyor Şule.
acs_38935,Muharrem bir marketten alışveriş yapmak istiyor.
asi_12744,ispanya'dakiler gibi bir plaja gitmek istiyorum.
aqm_88861,Yaprak başka bir adama aşık olmak istiyor.
agj_49616,3A sınıfından Emre babasıyla okuyabileceği bir şiiri ezberlemek istiyordu.
ant_43695,Tijen restorandaki gibi bir tatlıyı yemek istiyor.
aef_31941,"Hilal, benimki gibi bir sevgilisi olmasını istiyor."
aqd_89324,Annem leyla'nınki gibi bir yazlık almak istiyor.
aoz_51681,ayşe gibi bir kızla evlenmek istiyor Ender.
ate_74641,Güzel bir bahçede piknik yapmak istiyor Gaye.
aco_78339,Şeyda yün bir halıyı süpürmek istiyor.
aiz_27910,bolu'daki gibi bir gölden balık avlamak istiyor Hale.
afh_31700,Orkun benimki gibi bir okula gitmek istiyor.
ajt_42048,Nur hediyelik eşya dükkanından bir bileklik almak istiyor.
aqt_15770,Banu başka bir bankta oturmak istiyor.
all_55179,ayşe'ninkiler gibi kedilere bakmak istiyorum.
anx_85080,Ayşenur istiyor merkezi bir apartmanda oturmak.
arg_99023,Gürsel başka bir makineyle dikiş dikmek istiyor.
atv_67955,Vedat istiyor başka bir restoranı keşfetmek.
agb_67463,Mustafa uyumadan önce sürükleyici bir roman okumak istiyor.
agd_52066,Ayşe hamile bir kedi sahiplenmek istiyor.
aob_58285,esmer çocuk bugün yarın kaslı bir tamirci görmek istiyormuş.
aoh_63645,Hamiyet hala istedi benden bir köpeğe bakmamı.
ajn_48337,Leyla başka bir tesisatçıyı öpmek istiyor.
agw_13198,şu çocuk bir defter almak istiyordu dersten çıkınca.
aga_84412,Hüseyin başka bir şirketten ayrılmak istiyor.
avb_38727,Uzak diyarlardan gelen bir gözlemcinin kitabında herkesten bahsedeceğini ummuştum.
aeb_70666,bir casus yakalamak istiyor Şövalye.
awe_56672,Bir öykü yazmak isteyen Nil her gün çok çalışıyordu.
aoy_41805,Rüstem işsiz bir mezunla röportaj yapmak istiyor.
aeu_81993,Müge başka bir konukla röportaj yapmak istiyor.
byf_30239,Şermin bir eteğin üstüne o gömleğin olmayacağından emindi.
bsv_92323,Annesini yarı yolda bırakan bir hemşirenin mesleğinde başarılı olamayacağına inanmıştı Nino.
biz_24088,Hiç kimsenin korkutmayı başaramadığı sihirbaz şimdi bir kaşıktan korkuyordu.
boc_57011,Bir ata atlayıp uçsuz bucaksız dağları aşmayı ummuştu Köroğlu.
bkc_58381,Feride bir taşın altına saklanan yılanın birden başını çıkarmasından endişeleniyordu.
byl_48843,Bir mektup aldıktan sonra saatlerce kendine gelemeyeceğini sanmıştı Dündar.
bxf_61773,Vedat sanıyordu ki tüm yemekleri denese bile bir tanesini hiçbiri geçemez.
btn_15541,Naciye bir kelebeğin gelip eteğine konacağını ummuştu.
bxd_79906,"Bir piyadenin kendisini yaralayacağından korkmuyordu Cankat, kendisi birini yaralamaktan korkuyordu."
bha_74138,Mikaela bir elmanın ağaçtan düşeceğini biliyor.
brd_26992,"Bir kişinin yaptığı işi herkes beğenecek diye bir kural yok, dedi Yusuf."
bbb_50746,Polisten aldığın evrakları dolabımdaki bir çekmeceye koymanı emretmiştim.
bwt_85141,Anıl sessiz bir ortamda çalışmak istiyorsa bir kütüphaneye gitmeli.
bhg_31939,Furkan’ın bir plan yaptığını düşünüyor musun?
bfj_34674,Beyza müzik kulübüne bir üye alınacağını söyledi.
bld_66075,Berk her gün bir antremana katılmalı.
bgd_32070,Şeyma bu sene bir belgesel çekerse ünlü olacağına inanıyor.
bmg_74973,Can bir seramik kursuna gitmeyi düşünüyor.
bwu_90507,Burak eski kitaplarla ilgileniyorsa bir sahafçıya gidebilir.
bhs_32283,Hakan iyi tenis oynamak için bir ders almalı mı?
brj_54052,Yeşim bir gösteriye davet alırsa katılmayı düşünüyor.
